tau,q1,q2,resource,meter,p1,p2,p_resource,p_meter,dissipated_energy,gross_transfer,integrated_tracking_residual,total_energy,local_pair_energy,asymmetry,meter_interface_energy,resource_to_pair_power,meter_to_pair_power,q_plus,p_plus,common_mode_energy
85.4,-0.2468114425,-0.2769633959,0.2510681543,-0.1231593211,0.1535338835,0.01168290586,0.1097606404,0.06178829745,0.4644206562,2.02017643,9.281889739,0.1605793439,0.08103053336,0.02103084014,0.001528984714,0.019110347,0.003796958082,-0.3703647401,0.1168259121,0.07540916721
85.5,-0.2296589873,-0.2742748615,0.2601499769,-0.1165087476,0.188961736,0.04223084956,0.07176124219,0.07114110142,0.4644728875,2.022702419,9.283297696,0.1605271125,0.0835261967,0.02352052928,0.001280297673,0.02313878805,0.004276213144,-0.3563350417,0.163477845,0.07684983389
85.6,-0.2091398131,-0.2684932759,0.2654068802,-0.1089481751,0.2207709171,0.07349590724,0.03335602516,0.07998164406,0.4645428339,2.025615742,9.284441055,0.1604571661,0.08639390683,0.02521276208,0.001003836431,0.02619152717,0.004423879958,-0.3377375961,0.208078067,0.07868158289
85.7,-0.1856435039,-0.2595620234,0.2668263005,-0.1005308388,0.2484223202,0.1051693186,-0.004896054858,0.08826953706,0.4646346909,2.02877584,9.285304388,0.1603653091,0.08949067366,0.02598536999,0.0007244165765,0.02810089966,0.00422877715,-0.3148078474,0.2500270456,0.08080875215
85.8,-0.159608816,-0.2474573893,0.2644510101,-0.09131408359,0.2714732144,0.1369021645,-0.04244859413,0.09596289032,0.464751592,2.032029697,9.285897058,0.160248408,0.09266196995,0.02582673928,0.0004664170479,0.02878022102,0.003708038108,-0.2878392742,0.2887649997,0.0831183364
85.9,-0.1315136016,-0.232192449,0.2583774619,-0.08135953528,0.2895855801,0.1683081459,-0.07877565966,0.1030179378,0.4648954908,2.035222866,9.286251649,0.1601045093,0.09575279262,0.02484444637,0.000251543037,0.02822670745,0.002904778879,-0.2571790148,0.3237797587,0.0854871889
86,-0.1018640332,-0.2138206049,0.248753368,-0.07073329686,0.3025317348,0.1989678656,-0.1133791874,0.1093888956,0.4650671067,2.038210134,9.286420293,0.1599328933,0.09861830681,0.02325974895,9.691227425e-05,0.02651822266,0.001883607132,-0.2232227483,0.3546137682,0.08778965999
86.1,-0.07118340573,-0.1924386201,0.2357745684,-0.05950614736,0.3101971391,0.22843458,-0.145795754,0.1150280643,0.4652659295,2.040865046,9.286469335,0.1597340706,0.1011332919,0.02138794309,1.36358363e-05,0.02380437135,0.0007244504276,-0.1864089222,0.3808701411,0.08990517532
86.2,-0.04000080121,-0.1681890076,0.2196812581,-0.04775371802,0.3125803536,0.2562413366,-0.1756026307,0.119886179,0.4654902768,2.043107042,9.28647286,0.1595097232,0.1031997397,0.01960630109,6.010771905e-06,0.02029287748,-0.0004846818955,-0.1472124256,0.4022176744,0.09172527792
86.3,-0.008839897594,-0.1412616409,0.2007536472,-0.03555662109,0.309790192,0.2819093699,-0.2024230445,0.1239130018,0.4657373967,2.045044452,9.286505759,0.1592626033,0.1047521327,0.01831285833,7.137833146e-05,0.01623250612,-0.00165531578,-0.1061378157,0.4183947726,0.09315971084
86.4,0.02179180148,-0.1118944699,0.1793071382,-0.02300050801,0.3020401922,0.3049575786,-0.2259305883,0.1270581425,0.4660036056,2.046671313,9.286636973,0.1589963944,0.1057601364,0.0178805303,0.0002006350989,0.01189399064,-0.002705815553,-0.06371220784,0.4292122399,0.09414119615
86.5,0.05141305806,-0.08037324342,0.1556871055,-0.01017603475,0.2896405988,0.3249128701,-0.245852739,0.1292720872,0.4662844527,2.04795796,9.286923549,0.1587155473,0.1062286569,0.01861176238,0.0003793216353,0.007550499386,-0.003567740344,-0.02047794346,0.4345549253,0.09462866462
